user_id,skill_id,correct,time
U208944,K538057,1,1553097600
U210152,K538057,1,1553097600
U183077,K538057,1,1553097600
U179654,K538057,1,1553097600
U219202,K538057,1,1553097600
U161284,K538057,1,1553097600
U189677,K538057,1,1553097600
U173756,K538057,1,1553097600
U150159,K538057,1,1553097600
U160422,K538057,1,1553097600
U154693,K538057,1,1553097600
U216700,K538057,1,1553097600
U166636,K538057,1,1553097600
U172196,K538184,1,1553097600
U226693,K538057,1,1553097600
U217964,K538057,1,1553097600
U176898,K538436,1,1553097600
U155521,K538436,1,1553097600
U158554,K538057,1,1553097600
U177621,K538057,1,1553097600
U167818,K538057,1,1553097600
U203144,K538057,1,1553097600
U221120,K538057,1,1553097600
U210252,K538057,1,1553097600
U192549,K538057,1,1553097600
U198775,K538057,1,1553097600
U175005,K538057,1,1553097600
U156498,K538057,1,1553097600
U227407,K538057,1,1553097600
U220942,K538057,1,1553097600
U181885,K538057,1,1553097600
U152898,K538057,1,1553097600
U160663,K538057,1,1553097600
U200189,K538384,1,1553097600
U164349,K538270,1,1553097600
U161035,K538457,1,1553097600
U167094,K538457,1,1553097600
U168684,K538457,1,1553097600
U149890,K538457,1,1553097600
U161035,K538457,1,1553097600
U153275,K538394,0,1553097600
U203136,K538057,0,1553097600
U158171,K538224,1,1553097600
U198691,K538457,1,1553097600
U175999,K538457,1,1553097600
U178656,K538395,1,1553097600
U155268,K538395,1,1553097600
U182120,K538395,1,1553097600
U218304,K538395,0,1553097600
U179976,K538395,1,1553097600
U221234,K538395,1,1553097600
U207648,K538395,1,1553097600
U200189,K538395,1,1553097600
U185612,K538395,1,1553097600
U169772,K538457,1,1553097600
U225045,K538425,1,1553097600
U194477,K538384,1,1553097600
U194477,K538457,1,1553097600
U158261,K538384,1,1553097600
U158261,K538457,1,1553097600
U200736,K538457,1,1553097600
U206478,K538457,1,1553097600
U212806,K538457,1,1553097600
U153275,K538279,1,1553097600
U179976,K538457,1,1553097600
U200189,K538057,1,1553097600
U194477,K538057,1,1553097600
U155045,K538057,0,1553097600
U155045,K538365,0,1553097600
U155045,K538425,0,1553097600
U225045,K538057,1,1553097600
U225045,K538365,1,1553097600
U208294,K538457,0,1553097600
U216700,K538270,1,1553097600
U192529,K538395,1,1553097600
U216700,K538057,1,1553097600
U177621,K538057,1,1553097600
U198691,K538395,1,1553097600
U170482,K538395,1,1553097600
U167094,K538395,1,1553097600
U198516,K538395,1,1553097600
U193997,K538395,1,1553097600
U191155,K538457,0,1553097600
U167818,K538057,1,1553097600
U206478,K538457,1,1553097600
U179976,K538457,1,1553097600
U180944,K538457,1,1553097600
U195407,K538457,1,1553097600
U154809,K538457,1,1553097600
U167094,K538457,0,1553097600
U181976,K538457,1,1553097600
U187195,K538457,1,1553097600
U208017,K538457,1,1553097600
U161367,K538395,1,1553097600
U203144,K538057,1,1553097600
U198775,K538057,0,1553097600
U183315,K538057,1,1553097600
U164349,K538057,1,1553097600
U173756,K538057,1,1553097600
U189677,K538057,1,1553097600
U219202,K538057,0,1553097600
U183077,K538057,1,1553097600
U208944,K538057,1,1553097600
U220479,K538057,1,1553097600
U207804,K538057,1,1553097600
U216824,K538057,1,1553097600
U179654,K538057,1,1553097600
U217964,K538057,1,1553097600
U152898,K538057,1,1553097600
U225647,K538057,0,1553097600
U206140,K538057,0,1553097600
U187784,K538057,1,1553097600
U166089,K538057,1,1553097600
U203136,K538425,0,1553097600
U207057,K538436,0,1553097600
U176191,K538370,1,1553097600
U203438,K538370,1,1553097600
U184522,K538423,1,1553097600
U168152,K538224,1,1553097600
U200189,K538224,1,1553097600
U194477,K538224,1,1553097600
U174731,K538370,1,1553097600
U200007,K538370,1,1553097600
U181571,K538370,1,1553097600
U203136,K538057,1,1553097600
U165228,K538425,1,1553097600
U165228,K538057,1,1553097600
U200711,K538370,1,1553097600
U157282,K538370,1,1553097600
U217470,K538491,0,1553097600
U174731,K538057,1,1553097600
U174731,K538423,1,1553097600
U202402,K538057,0,1553097600
U200189,K538448,1,1553097600
U194477,K538448,1,1553097600
U176191,K538370,1,1553097600
U184522,K538216,1,1553097600
U203136,K538425,1,1553097600
U155045,K538057,1,1553097600
U174731,K538491,0,1553097600
U170314,K538048,1,1553097600
U217470,K538423,0,1553097600
U200189,K538384,1,1553097600
U179976,K538224,1,1553097600
U196265,K538224,1,1553097600
U207057,K538224,1,1553097600
U149312,K538224,1,1553097600
U221234,K538224,0,1553097600
U158261,K538448,1,1553097600
U155521,K538057,1,1553097600
U198516,K538224,1,1553097600
U158171,K538224,1,1553097600
U218207,K538328,1,1553097600
U154050,K538256,1,1553097600
U166520,K538395,1,1553097600
U222579,K538436,1,1553097600
U157282,K538395,1,1553097600
U214251,K538395,0,1553097600
U155045,K538425,1,1553097600
U198691,K538224,1,1553097600
U202402,K538423,0,1553097600
U174731,K538423,0,1553097600
U202402,K538395,1,1553097600
U157282,K538370,1,1553097600
U203468,K538370,1,1553097600
U166520,K538395,1,1553097600
U157282,K538395,1,1553097600
U201248,K538395,1,1553097600
U174731,K538395,1,1553097600
U218207,K538457,1,1553097600
U198440,K538224,1,1553097600
U170314,K538048,1,1553097600
U198516,K538492,0,1553097600
U178656,K538492,1,1553097600
U200711,K538370,1,1553097600
U214251,K538370,1,1553097600
U174731,K538370,1,1553097600
U218207,K538124,1,1553097600
U217470,K538370,1,1553097600
U203438,K538370,0,1553097600
U175999,K538491,0,1553097600
U181206,K538270,1,1553097600
U157650,K538270,1,1553184000
U159334,K538425,1,1553184000
U183077,K538287,0,1553184000
U204835,K538287,0,1553184000
U212276,K538448,1,1553184000
U149409,K538423,0,1553184000
U200621,K538395,1,1553184000
U176177,K538395,1,1553184000
U150159,K538270,1,1553184000
U228311,K538365,1,1553184000
U174171,K538270,1,1553184000
U212276,K538448,1,1553184000
U149409,K538491,0,1553184000
U159334,K538057,1,1553184000
U216901,K538279,0,1553184000
U225618,K538395,1,1553184000
U178374,K538395,1,1553184000
U165950,K538303,1,1553184000
U225647,K538270,1,1553184000
U174731,K538491,0,1553184000
U194207,K538436,1,1553184000
U166312,K538270,1,1553184000
U174731,K538423,0,1553184000
U164882,K538270,1,1553184000
U189267,K538433,1,1553184000
U228311,K538436,1,1553184000
U190167,K538270,0,1553184000
U228311,K538184,1,1553184000
U189267,K538262,1,1553184000
U189304,K538457,1,1553184000
U189267,K538303,1,1553184000
U178066,K538370,1,1553184000
U198735,K538370,1,1553184000
U182206,K538358,1,1553184000
U153275,K538040,1,1553184000
U200621,K538436,1,1553184000
U221234,K538436,1,1553184000
U228311,K538223,1,1553184000
U164349,K538279,1,1553184000
U171798,K538279,1,1553184000
U210844,K538436,1,1553184000
U221565,K538436,0,1553184000
U198516,K538436,1,1553184000
U198422,K538436,1,1553184000
U198780,K538457,1,1553184000
U225580,K538457,1,1553184000
U182456,K538279,0,1553184000
U166312,K538279,1,1553184000
U212276,K538131,0,1553184000
U212276,K538433,0,1553184000
U212276,K538134,0,1553184000
U206106,K538328,1,1553184000
U169889,K538436,1,1553184000
U182206,K538358,1,1553184000
U228311,K538223,1,1553184000
U186525,K538436,1,1553184000
U211479,K538123,0,1553184000
U201747,K538279,1,1553184000
U176531,K538223,1,1553184000
U159334,K538457,1,1553184000
U192608,K538123,0,1553184000
U175579,K538123,0,1553184000
U157426,K538370,1,1553184000
U213999,K538370,1,1553184000
U198261,K538370,1,1553184000
U182206,K538358,1,1553184000
U194477,K538492,0,1553184000
U198440,K538492,1,1553184000
U185513,K538457,1,1553184000
U159334,K538279,1,1553184000
U198780,K538457,0,1553184000
U185513,K538457,1,1553184000
U167094,K538457,0,1553184000
U176177,K538436,1,1553184000
U178897,K538436,1,1553184000
U190167,K538370,1,1553184000
U228311,K538384,1,1553184000
U170383,K538057,1,1553184000
U222906,K538057,1,1553184000
U186546,K538057,1,1553184000
U217685,K538384,0,1553184000
U198261,K538370,1,1553184000
U157650,K538057,1,1553184000
U174171,K538057,1,1553184000
U157426,K538370,1,1553184000
U164882,K538057,1,1553184000
U150159,K538057,1,1553184000
U225647,K538057,1,1553184000
U191123,K538057,1,1553184000
U198735,K538370,1,1553184000
U199236,K538433,0,1553184000
U179148,K538433,0,1553184000
U159334,K538384,1,1553184000
U155731,K538423,1,1553184000
U155731,K538057,1,1553184000
U157426,K538423,1,1553184000
U157426,K538057,1,1553184000
U166312,K538057,1,1553184000
U228019,K538123,1,1553184000
U171798,K538057,1,1553184000
U207804,K538395,1,1553184000
U221234,K538224,1,1553184000
U210844,K538224,1,1553184000
U176531,K538057,1,1553184000
U176531,K538473,1,1553184000
U194207,K538057,1,1553184000
U194207,K538363,1,1553184000
U201747,K538057,1,1553184000
U216438,K538057,1,1553184000
U166312,K538057,1,1553184000
U216901,K538057,0,1553184000
U224900,K538057,1,1553184000
U190167,K538057,1,1553184000
U157475,K538057,1,1553184000
U222906,K538057,1,1553184000
U164349,K538057,1,1553184000
U216901,K538057,0,1553184000
U194207,K538216,1,1553184000
U197717,K538395,1,1553184000
U157426,K538395,1,1553184000
U198735,K538395,1,1553184000
U225647,K538057,1,1553184000
U159334,K538123,1,1553184000
U178066,K538370,1,1553184000
U157282,K538057,1,1553184000
U184760,K538395,1,1553184000
U198735,K538395,1,1553184000
U157426,K538395,1,1553184000
